"DFILESIZE","file","filename","siteid","uploaddirectory","contenttype","containerid","cm:title","apm:apmNumber","apm:apmYear","apm:beginningBatesNumber","apm:endingBatesNumber","apm:startImage","apm:endImage","apm:boxSequence","apm:documentType","damsasp:extDocSource","damsasp:extDocId","damsasp:extDocVersion"
461626,"GMD042643.pdf","GMD042643.pdf","All Participant Memos","APMs","All Participant Memos","","97-5 - 1997","97-5","1997","APMS-0005-2064","APMS-0005-2076","1","13","541","APMs","","GMD042643","1"
213534,"GMD042647.pdf","GMD042647.pdf","All Participant Memos","APMs","All Participant Memos","","97-9 - 1997","97-9","1997","APMS-0005-2109","APMS-0005-2117","1","9","545","APMs","","GMD042647","1"
142531,"GMD042652.pdf","GMD042652.pdf","All Participant Memos","APMs","All Participant Memos","","97-14 - 1997","97-14","1997","APMS-0005-2176","APMS-0005-2179","1","4","550","APMs","","GMD042652","1"
55028,"GMD042656.pdf","GMD042656.pdf","All Participant Memos","APMs","All Participant Memos","","97-18 - 1997","97-18","1997","APMS-0005-2210","APMS-0005-2210","1","1","554","APMs","","GMD042656","1"
200371,"GMD042660.pdf","GMD042660.pdf","All Participant Memos","APMs","All Participant Memos","","97-22 - 1997","97-22","1997","APMS-0005-2241","APMS-0005-2247","1","7","558","APMs","","GMD042660","1"
39153,"GMD042664.pdf","GMD042664.pdf","All Participant Memos","APMs","All Participant Memos","","97-26 - 1997","97-26","1997","APMS-0005-2273","APMS-0005-2273","1","1","562","APMs","","GMD042664","1"
26276,"GMD042667.pdf","GMD042667.pdf","All Participant Memos","APMs","All Participant Memos","","97-29 - 1997","97-29","1997","APMS-0005-2289","APMS-0005-2289","1","1","565","APMs","","GMD042667","1"
1278286,"GMD042669.pdf","GMD042669.pdf","All Participant Memos","APMs","All Participant Memos","","97-31 - 1997","97-31","1997","APMS-0005-2339","APMS-0005-2359","1","21","567","APMs","","GMD042669","1"
94313,"GMD042682.pdf","GMD042682.pdf","All Participant Memos","APMs","All Participant Memos","","- 2210.3 REV 8, Contents","","2210.3 REV 8, Contents","APMS-0006-0598","APMS-0006-0600","1","3","580","APMs","","GMD042682","1"
1812098,"GMD042686.pdf","GMD042686.pdf","All Participant Memos","APMs","All Participant Memos","","4 - 2210.3 REV 8, Contents","4","2210.3 REV 8, Contents","APMS-0006-0758","APMS-0006-0801","1","44","584","APMs","","GMD042686","1"
343420,"GMD042690.pdf","GMD042690.pdf","All Participant Memos","APMs","All Participant Memos","","8 - 2210.3 REV 8, Contents","8","2210.3 REV 8, Contents","APMS-0006-0806","APMS-0006-0815","1","10","588","APMs","","GMD042690","1"
90115,"GMD042521.pdf","GMD042521.pdf","All Participant Memos","APMs","All Participant Memos","","92-16 - 1992","92-16","1992","APMS-0005-0247","APMS-0005-0248","1","2","419","APMs","","GMD042521","1"
31464,"GMD042522.pdf","GMD042522.pdf","All Participant Memos","APMs","All Participant Memos","","92-17 - 1992","92-17","1992","APMS-0005-0249","APMS-0005-0249","1","1","420","APMs","","GMD042522","1"
400970,"GMD042525.pdf","GMD042525.pdf","All Participant Memos","APMs","All Participant Memos","","92-20 - 1992","92-20","1992","APMS-0005-0268","APMS-0005-0276","1","9","423","APMs","","GMD042525","1"
254561,"GMD042526.pdf","GMD042526.pdf","All Participant Memos","APMs","All Participant Memos","","92-21 - 1992","92-21","1992","APMS-0005-0277","APMS-0005-0283","1","7","424","APMs","","GMD042526","1"
3953607,"GMD042529.pdf","GMD042529.pdf","All Participant Memos","APMs","All Participant Memos","","92-24 - 1992","92-24","1992","APMS-0005-0306","APMS-0005-0391","1","86","427","APMs","","GMD042529","1"
255825,"GMD042530.pdf","GMD042530.pdf","All Participant Memos","APMs","All Participant Memos","","92-25 - 1992","92-25","1992","APMS-0005-0392","APMS-0005-0397","1","6","428","APMs","","GMD042530","1"
96431,"GMD042533.pdf","GMD042533.pdf","All Participant Memos","APMs","All Participant Memos","","92-28 - 1992","92-28","1992","APMS-0005-0402","APMS-0005-0403","1","2","431","APMs","","GMD042533","1"
218756,"GMD042534.pdf","GMD042534.pdf","All Participant Memos","APMs","All Participant Memos","","93-1 - 1993","93-1","1993","APMS-0005-0404","APMS-0005-0409","1","6","432","APMs","","GMD042534","1"
33159,"GMD042537.pdf","GMD042537.pdf","All Participant Memos","APMs","All Participant Memos","","93-4 - 1993","93-4","1993","APMS-0005-0416","APMS-0005-0416","1","1","435","APMs","","GMD042537","1"
2098836,"GMD042538.pdf","GMD042538.pdf","All Participant Memos","APMs","All Participant Memos","","93-5 - 1993","93-5","1993","APMS-0005-0417","APMS-0005-0478","1","62","436","APMs","","GMD042538","1"
59036,"GMD042542.pdf","GMD042542.pdf","All Participant Memos","APMs","All Participant Memos","","93-9 - 1993","93-9","1993","APMS-0005-0487","APMS-0005-0487","1","1","440","APMs","","GMD042542","1"
1270262,"GMD042545.pdf","GMD042545.pdf","All Participant Memos","APMs","All Participant Memos","","93-12 - 1993","93-12","1993","APMS-0005-0490","APMS-0005-0528","1","39","443","APMs","","GMD042545","1"
189632,"GMD042546.pdf","GMD042546.pdf","All Participant Memos","APMs","All Participant Memos","","93-13 - 1993","93-13","1993","APMS-0005-0529","APMS-0005-0534","1","6","444","APMs","","GMD042546","1"
207028,"GMD042549.pdf","GMD042549.pdf","All Participant Memos","APMs","All Participant Memos","","93-16 - 1993","93-16","1993","APMS-0005-0547","APMS-0005-0552","1","6","447","APMs","","GMD042549","1"
61879,"GMD042550.pdf","GMD042550.pdf","All Participant Memos","APMs","All Participant Memos","","93-17 - 1993","93-17","1993","APMS-0005-0553","APMS-0005-0554","1","2","448","APMs","","GMD042550","1"
87692,"GMD042553.pdf","GMD042553.pdf","All Participant Memos","APMs","All Participant Memos","","93-20 - 1993","93-20","1993","APMS-0005-0652","APMS-0005-0653","1","2","451","APMs","","GMD042553","1"
27901,"GMD042554.pdf","GMD042554.pdf","All Participant Memos","APMs","All Participant Memos","","93-21 - 1993","93-21","1993","APMS-0005-0654","APMS-0005-0654","1","1","452","APMs","","GMD042554","1"
47373,"GMD042558.pdf","GMD042558.pdf","All Participant Memos","APMs","All Participant Memos","","94-4 - 1994","94-4","1994","APMS-0005-0669","APMS-0005-0669","1","1","456","APMs","","GMD042558","1"
94875,"GMD042561.pdf","GMD042561.pdf","All Participant Memos","APMs","All Participant Memos","","94-7 - 1994","94-7","1994","APMS-0005-0721","APMS-0005-0723","1","3","459","APMs","","GMD042561","1"
109986,"GMD042562.pdf","GMD042562.pdf","All Participant Memos","APMs","All Participant Memos","","94-8 - 1994","94-8","1994","APMS-0005-0724","APMS-0005-0726","1","3","460","APMs","","GMD042562","1"
78242,"GMD042567.pdf","GMD042567.pdf","All Participant Memos","APMs","All Participant Memos","","94-13 - 1994","94-13","1994","APMS-0005-0744","APMS-0005-0745","1","2","465","APMs","","GMD042567","1"
2143500,"GMD042570.pdf","GMD042570.pdf","All Participant Memos","APMs","All Participant Memos","","94-16 - 1994","94-16","1994","APMS-0005-0761","APMS-0005-0816","1","56","468","APMs","","GMD042570","1"
107057,"GMD042571.pdf","GMD042571.pdf","All Participant Memos","APMs","All Participant Memos","","94-17 - 1994","94-17","1994","APMS-0005-0817","APMS-0005-0821","1","5","469","APMs","","GMD042571","1"
673170,"GMD042574.pdf","GMD042574.pdf","All Participant Memos","APMs","All Participant Memos","","94-20 - 1994","94-20","1994","APMS-0005-0839","APMS-0005-0858","1","20","472","APMs","","GMD042574","1"
27436,"GMD042575.pdf","GMD042575.pdf","All Participant Memos","APMs","All Participant Memos","","94-21 - 1994","94-21","1994","APMS-0005-0859","APMS-0005-0859","1","1","473","APMs","","GMD042575","1"
62914,"GMD042578.pdf","GMD042578.pdf","All Participant Memos","APMs","All Participant Memos","","95-1 - 1995","95-1","1995","APMS-0005-0891","APMS-0005-0892","1","2","476","APMs","","GMD042578","1"
552485,"GMD042579.pdf","GMD042579.pdf","All Participant Memos","APMs","All Participant Memos","","95-2 - 1995","95-2","1995","APMS-0005-0893","APMS-0005-0907","1","15","477","APMs","","GMD042579","1"
447608,"GMD042582.pdf","GMD042582.pdf","All Participant Memos","APMs","All Participant Memos","","95-5 - 1995","95-5","1995","APMS-0005-0922","APMS-0005-0934","1","13","480","APMs","","GMD042582","1"
