"DFILESIZE","file","filename","siteid","uploaddirectory","contenttype","containerid","cm:title","damsasp:boxSequence","damsasp:department","damsasp:library","damsasp:documentType","damsasp:extDocSource","damsasp:extDocId","damsasp:extDocVersion","damsasp:mcdfNumber","damsasp:trustNumber","damsasp:year"
665991,"GMD008190.pdf","GMD008190.pdf","CapitalMarkets","01_Official Financial Advisor Letter","CapitalMarkets","","2013-086_01_Official Financial Advisor Letter.pdf","","Capital Markets","","01_Official Financial Advisor Letter","","GMD008190","1","MCDF-0178-0349","2013-086",2013
673232,"GMD008198.pdf","GMD008198.pdf","CapitalMarkets","01_Official Financial Advisor Letter","CapitalMarkets","","2013-087_01_Official Financial Advisor Letter","","Capital Markets","","01_Official Financial Advisor Letter","","GMD008198","1","MCDF-0178-0437","2013-087",2013
695346,"GMD008206.pdf","GMD008206.pdf","CapitalMarkets","01_Official Financial Advisor Letter","CapitalMarkets","","2013-088_01_Official Financial Advisor Letter","","Capital Markets","","01_Official Financial Advisor Letter","","GMD008206","1","MCDF-0178-0550","2013-088",2013
655710,"GMD008214.pdf","GMD008214.pdf","CapitalMarkets","01_Official Financial Advisor Letter","CapitalMarkets","","2013-089_01_Official Financial Advisor Letter.pdf","","Capital Markets","","01_Official Financial Advisor Letter","","GMD008214","1","MCDF-0178-0963","2013-089",2013
649719,"GMD008222.pdf","GMD008222.pdf","CapitalMarkets","01_Official Financial Advisor Letter","CapitalMarkets","","2013-090_01_Official Financial Advisor Letter","","Capital Markets","","01_Official Financial Advisor Letter","","GMD008222","1","MCDF-0178-1043","2013-090",2013
674332,"GMD008230.pdf","GMD008230.pdf","CapitalMarkets","01_Official Financial Advisor Letter","CapitalMarkets","","2013-091_01_Official Financial Advisor Letter.pdf","","Capital Markets","","01_Official Financial Advisor Letter","","GMD008230","1","MCDF-0178-1145","2013-091",2013
551518,"GMD008238.pdf","GMD008238.pdf","CapitalMarkets","01_Official Financial Advisor Letter","CapitalMarkets","","2013-092_01_Official Financial Advisor Letter.pdf","","Capital Markets","","01_Official Financial Advisor Letter","","GMD008238","1","MCDF-0178-1226","2013-092",2013
648395,"GMD008246.pdf","GMD008246.pdf","CapitalMarkets","01_Official Financial Advisor Letter","CapitalMarkets","","2013-093_01_Official Financial Advisor Letter","","Capital Markets","","01_Official Financial Advisor Letter","","GMD008246","1","MCDF-0178-1304","2013-093",2013
532957,"GMD008254.pdf","GMD008254.pdf","CapitalMarkets","01_Official Financial Advisor Letter","CapitalMarkets","","2013-094_01_Official Financial Advisor Letter","","Capital Markets","","01_Official Financial Advisor Letter","","GMD008254","1","MCDF-0178-1384","2013-094",2013
522661,"GMD008262.pdf","GMD008262.pdf","CapitalMarkets","01_Official Financial Advisor Letter","CapitalMarkets","","2013-095_01_Official Financial Advisor Letter.pdf","","Capital Markets","","01_Official Financial Advisor Letter","","GMD008262","1","MCDF-0178-1459","2013-095",2013
534445,"GMD008270.pdf","GMD008270.pdf","CapitalMarkets","01_Official Financial Advisor Letter","CapitalMarkets","","2013-096_01_Official Financial Advisor Letter.pdf","","Capital Markets","","01_Official Financial Advisor Letter","","GMD008270","1","MCDF-0178-1525","2013-096",2013
532653,"GMD008318.pdf","GMD008318.pdf","CapitalMarkets","01_Official Financial Advisor Letter","CapitalMarkets","","2013-097_01_Official Financial Advisor Letter","","Capital Markets","","01_Official Financial Advisor Letter","","GMD008318","1","MCDF-0179-0001","2013-097",2013
680034,"GMD008326.pdf","GMD008326.pdf","CapitalMarkets","01_Official Financial Advisor Letter","CapitalMarkets","","2013-098_01_Official Financial Advisor Letter.pdf","","Capital Markets","","01_Official Financial Advisor Letter","","GMD008326","1","MCDF-0179-0078","2013-098",2013
647309,"GMD008334.pdf","GMD008334.pdf","CapitalMarkets","01_Official Financial Advisor Letter","CapitalMarkets","","2013-099_01_Official Financial Advisor Letter.pdf","","Capital Markets","","01_Official Financial Advisor Letter","","GMD008334","1","MCDF-0179-0216","2013-099",2013
696843,"GMD008342.pdf","GMD008342.pdf","CapitalMarkets","01_Official Financial Advisor Letter","CapitalMarkets","","2013-100_01_Official Financial Advisor Letter","","Capital Markets","","01_Official Financial Advisor Letter","","GMD008342","1","MCDF-0179-0360","2013-100",2013
744986,"GMD008350.pdf","GMD008350.pdf","CapitalMarkets","01_Official Financial Advisor Letter","CapitalMarkets","","2013-101_01_Official Financial Advisor Letter","","Capital Markets","","01_Official Financial Advisor Letter","","GMD008350","1","MCDF-0179-0460","2013-101",2013
1002664,"GMD008358.pdf","GMD008358.pdf","CapitalMarkets","01_Official Financial Advisor Letter","CapitalMarkets","","2013-103_01_Official Financial Advisor Letter.pdf","","Capital Markets","","01_Official Financial Advisor Letter","","GMD008358","1","MCDF-0179-0656","2013-103",2013
778797,"GMD008366.pdf","GMD008366.pdf","CapitalMarkets","01_Official Financial Advisor Letter","CapitalMarkets","","2013-104_01_Official Financial Advisor Letter","","Capital Markets","","01_Official Financial Advisor Letter","","GMD008366","1","MCDF-0179-0772","2013-104",2013
774098,"GMD008374.pdf","GMD008374.pdf","CapitalMarkets","01_Official Financial Advisor Letter","CapitalMarkets","","2013-105_01_Official Financial Advisor Letter","","Capital Markets","","01_Official Financial Advisor Letter","","GMD008374","1","MCDF-0179-1246","2013-105",2013
998176,"GMD008382.pdf","GMD008382.pdf","CapitalMarkets","01_Official Financial Advisor Letter","CapitalMarkets","","2013-106_01_Official Financial Advisor Letter","","Capital Markets","","01_Official Financial Advisor Letter","","GMD008382","1","MCDF-0179-1322","2013-106",2013
774664,"GMD008390.pdf","GMD008390.pdf","CapitalMarkets","01_Official Financial Advisor Letter","CapitalMarkets","","2013-107_01_Official Financial Advisor Letter","","Capital Markets","","01_Official Financial Advisor Letter","","GMD008390","1","MCDF-0179-1454","2013-107",2013
779517,"GMD008398.pdf","GMD008398.pdf","CapitalMarkets","01_Official Financial Advisor Letter","CapitalMarkets","","2013-108_01_Official Financial Advisor Letter","","Capital Markets","","01_Official Financial Advisor Letter","","GMD008398","1","MCDF-0179-1528","2013-108",2013
669630,"GMD008406.pdf","GMD008406.pdf","CapitalMarkets","01_Official Financial Advisor Letter","CapitalMarkets","","2013-109_01_Official Financial Advisor Letter","","Capital Markets","","01_Official Financial Advisor Letter","","GMD008406","1","MCDF-0179-1610","2013-109",2013
935664,"GMD008414.pdf","GMD008414.pdf","CapitalMarkets","01_Official Financial Advisor Letter","CapitalMarkets","","2013-110_01_Official Financial Advisor Letter","","Capital Markets","","01_Official Financial Advisor Letter","","GMD008414","1","MCDF-0179-1703","2013-110",2013
674934,"GMD008422.pdf","GMD008422.pdf","CapitalMarkets","01_Official Financial Advisor Letter","CapitalMarkets","","2013-111_01_Official Financial Advisor Letter","","Capital Markets","","01_Official Financial Advisor Letter","","GMD008422","1","MCDF-0179-1791","2013-111",2013
781390,"GMD008430.pdf","GMD008430.pdf","CapitalMarkets","01_Official Financial Advisor Letter","CapitalMarkets","","2013-112_01_Official Financial Advisor Letter","","Capital Markets","","01_Official Financial Advisor Letter","","GMD008430","1","MCDF-0179-1871","2013-112",2013
662954,"GMD008470.pdf","GMD008470.pdf","CapitalMarkets","01_Official Financial Advisor Letter","CapitalMarkets","","2013-113_01_Official Financial Advisor Letter.pdf","","Capital Markets","","01_Official Financial Advisor Letter","","GMD008470","1","MCDF-0180-0001","2013-113",2013
688577,"GMD008478.pdf","GMD008478.pdf","CapitalMarkets","01_Official Financial Advisor Letter","CapitalMarkets","","2013-114_01_Official Financial Advisor Letter","","Capital Markets","","01_Official Financial Advisor Letter","","GMD008478","1","MCDF-0180-0255","2013-114",2013
669111,"GMD008486.pdf","GMD008486.pdf","CapitalMarkets","01_Official Financial Advisor Letter","CapitalMarkets","","2013-115_01_Official Financial Advisor Letter","","Capital Markets","","01_Official Financial Advisor Letter","","GMD008486","1","MCDF-0180-0889","2013-115",2013
656029,"GMD008494.pdf","GMD008494.pdf","CapitalMarkets","01_Official Financial Advisor Letter","CapitalMarkets","","2013-116_01_Official Financial Advisor Letter.pdf","","Capital Markets","","01_Official Financial Advisor Letter","","GMD008494","1","MCDF-0180-1042","2013-116",2013
671793,"GMD008502.pdf","GMD008502.pdf","CapitalMarkets","01_Official Financial Advisor Letter","CapitalMarkets","","2013-117_01_Official Financial Advisor Letter.pdf","","Capital Markets","","01_Official Financial Advisor Letter","","GMD008502","1","MCDF-0180-1167","2013-117",2013
540750,"GMD008510.pdf","GMD008510.pdf","CapitalMarkets","01_Official Financial Advisor Letter","CapitalMarkets","","2013-118_01_Official Financial Advisor Letter","","Capital Markets","","01_Official Financial Advisor Letter","","GMD008510","1","MCDF-0180-1458","2013-118",2013
663911,"GMD008518.pdf","GMD008518.pdf","CapitalMarkets","01_Official Financial Advisor Letter","CapitalMarkets","","2013-119_01_Official Financial Advisor Letter.pdf","","Capital Markets","","01_Official Financial Advisor Letter","","GMD008518","1","MCDF-0180-1530","2013-119",2013
656540,"GMD008526.pdf","GMD008526.pdf","CapitalMarkets","01_Official Financial Advisor Letter","CapitalMarkets","","2013-120_01_Official Financial Advisor Letter.pdf","","Capital Markets","","01_Official Financial Advisor Letter","","GMD008526","1","MCDF-0180-1627","2013-120",2013
547709,"GMD008534.pdf","GMD008534.pdf","CapitalMarkets","01_Official Financial Advisor Letter","CapitalMarkets","","2013-121_01_Official Financial Advisor Letter.pdf","","Capital Markets","","01_Official Financial Advisor Letter","","GMD008534","1","MCDF-0180-1730","2013-121",2013
669524,"GMD008542.pdf","GMD008542.pdf","CapitalMarkets","01_Official Financial Advisor Letter","CapitalMarkets","","2013-122_01_Official Financial Advisor Letter.pdf","","Capital Markets","","01_Official Financial Advisor Letter","","GMD008542","1","MCDF-0180-1828","2013-122",2013
660104,"GMD008550.pdf","GMD008550.pdf","CapitalMarkets","01_Official Financial Advisor Letter","CapitalMarkets","","2013-123_01_Official Financial Advisor Letter.pdf","","Capital Markets","","01_Official Financial Advisor Letter","","GMD008550","1","MCDF-0180-1996","2013-123",2013
678787,"GMD008558.pdf","GMD008558.pdf","CapitalMarkets","01_Official Financial Advisor Letter","CapitalMarkets","","2013-124_01_Official Financial Advisor Letter","","Capital Markets","","01_Official Financial Advisor Letter","","GMD008558","1","MCDF-0180-2074","2013-124",2013
535229,"GMD008566.pdf","GMD008566.pdf","CapitalMarkets","01_Official Financial Advisor Letter","CapitalMarkets","","2013-125_01_Official Financial Advisor Letter","","Capital Markets","","01_Official Financial Advisor Letter","","GMD008566","1","MCDF-0180-2498","2013-125",2013
539850,"GMD008574.pdf","GMD008574.pdf","CapitalMarkets","01_Official Financial Advisor Letter","CapitalMarkets","","2013-126_01_Official Financial Advisor Letter","","Capital Markets","","01_Official Financial Advisor Letter","","GMD008574","1","MCDF-0180-2582","2013-126",2013
537024,"GMD008582.pdf","GMD008582.pdf","CapitalMarkets","01_Official Financial Advisor Letter","CapitalMarkets","","2013-127_01_Official Financial Advisor Letter","","Capital Markets","","01_Official Financial Advisor Letter","","GMD008582","1","MCDF-0180-2686","2013-127",2013
536267,"GMD008590.pdf","GMD008590.pdf","CapitalMarkets","01_Official Financial Advisor Letter","CapitalMarkets","","2013-128_01_Official Financial Advisor Letter","","Capital Markets","","01_Official Financial Advisor Letter","","GMD008590","1","MCDF-0180-2781","2013-128",2013
651735,"GMD008622.pdf","GMD008622.pdf","CapitalMarkets","01_Official Financial Advisor Letter","CapitalMarkets","","2013-129_01_Official Financial Advisor Letter","","Capital Markets","","01_Official Financial Advisor Letter","","GMD008622","1","MCDF-0181-0001","2013-129",2013
672806,"GMD008630.pdf","GMD008630.pdf","CapitalMarkets","01_Official Financial Advisor Letter","CapitalMarkets","","2013-130_01_Official Financial Advisor Letter","","Capital Markets","","01_Official Financial Advisor Letter","","GMD008630","1","MCDF-0181-0165","2013-130",2013
695851,"GMD008638.pdf","GMD008638.pdf","CapitalMarkets","01_Official Financial Advisor Letter","CapitalMarkets","","2013-131_01_Official Financial Advisor Letter","","Capital Markets","","01_Official Financial Advisor Letter","","GMD008638","1","MCDF-0181-0430","2013-131",2013
670093,"GMD008646.pdf","GMD008646.pdf","CapitalMarkets","01_Official Financial Advisor Letter","CapitalMarkets","","2013-132_01_Official Financial Advisor Letter","","Capital Markets","","01_Official Financial Advisor Letter","","GMD008646","1","MCDF-0181-1035","2013-132",2013
665501,"GMD008654.pdf","GMD008654.pdf","CapitalMarkets","01_Official Financial Advisor Letter","CapitalMarkets","","2013-133_01_Official Financial Advisor Letter","","Capital Markets","","01_Official Financial Advisor Letter","","GMD008654","1","MCDF-0181-1180","2013-133",2013
663545,"GMD008662.pdf","GMD008662.pdf","CapitalMarkets","01_Official Financial Advisor Letter","CapitalMarkets","","2013-134_01_Official Financial Advisor Letter","","Capital Markets","","01_Official Financial Advisor Letter","","GMD008662","1","MCDF-0181-1272","2013-134",2013
648581,"GMD008670.pdf","GMD008670.pdf","CapitalMarkets","01_Official Financial Advisor Letter","CapitalMarkets","","2013-135_01_Official Financial Advisor Letter","","Capital Markets","","01_Official Financial Advisor Letter","","GMD008670","1","MCDF-0181-1351","2013-135",2013
