"DFILESIZE","file","filename","siteid","uploaddirectory","contenttype","containerid","cm:title","damsasp:boxSequence","damsasp:department","damsasp:library","damsasp:documentType","damsasp:extDocSource","damsasp:extDocId","damsasp:extDocVersion","damsasp:mcdfNumber","damsasp:trustNumber","damsasp:year"
4550890,"GMD010442.pdf","GMD010442.pdf","CapitalMarkets","06_Offering Circulator Supplement","CapitalMarkets","","2011-036_06_Offering Circulator Supplement.pdf","","Capital Markets","","06_Offering Circulator Supplement","","GMD010442","1","MCDF-0088-1987","2011-036",2011
3277134,"GMD010450.pdf","GMD010450.pdf","CapitalMarkets","06_Offering Circulator Supplement","CapitalMarkets","","2011-037_06_Offering Circulator Supplement","","Capital Markets","","06_Offering Circulator Supplement","","GMD010450","1","MCDF-0088-2357","2011-037",2011
2587290,"GMD010458.pdf","GMD010458.pdf","CapitalMarkets","06_Offering Circulator Supplement","CapitalMarkets","","2011-038_06_Offering Circulator Supplement.pdf","","Capital Markets","","06_Offering Circulator Supplement","","GMD010458","1","MCDF-0088-2676","2011-038",2011
6284379,"GMD010466.pdf","GMD010466.pdf","CapitalMarkets","06_Offering Circulator Supplement","CapitalMarkets","","2011-039_06_Offering Circulator Supplement.pdf","","Capital Markets","","06_Offering Circulator Supplement","","GMD010466","1","MCDF-0088-2921","2011-039",2011
5947817,"GMD010474.pdf","GMD010474.pdf","CapitalMarkets","06_Offering Circulator Supplement","CapitalMarkets","","2011-040_06_Offering Circulator Supplement.pdf","","Capital Markets","","06_Offering Circulator Supplement","","GMD010474","1","MCDF-0088-3385","2011-040",2011
14793537,"GMD010482.pdf","GMD010482.pdf","CapitalMarkets","06_Offering Circulator Supplement","CapitalMarkets","","2011-041_06_Offering Circulator Supplement.pdf","","Capital Markets","","06_Offering Circulator Supplement","","GMD010482","1","MCDF-0088-3794","2011-041",2011
2551292,"GMD010490.pdf","GMD010490.pdf","CapitalMarkets","06_Offering Circulator Supplement","CapitalMarkets","","2011-042_06_Offering Circulator Supplement.pdf","","Capital Markets","","06_Offering Circulator Supplement","","GMD010490","1","MCDF-0089-0034","2011-042",2011
2264438,"GMD010498.pdf","GMD010498.pdf","CapitalMarkets","06_Offering Circulator Supplement","CapitalMarkets","","2011-043_06_Offering Circulator Supplement","","Capital Markets","","06_Offering Circulator Supplement","","GMD010498","1","MCDF-0089-0299","2011-043",2011
2016117,"GMD010506.pdf","GMD010506.pdf","CapitalMarkets","06_Offering Circulator Supplement","CapitalMarkets","","2011-044_06_Offering Circulator Supplement.pdf","","Capital Markets","","06_Offering Circulator Supplement","","GMD010506","1","MCDF-0089-0551","2011-044",2011
3471724,"GMD010514.pdf","GMD010514.pdf","CapitalMarkets","06_Offering Circulator Supplement","CapitalMarkets","","2011-045_06_Offering Circulator Supplement","","Capital Markets","","06_Offering Circulator Supplement","","GMD010514","1","MCDF-0089-0790","2011-045",2011
9826918,"GMD010522.pdf","GMD010522.pdf","CapitalMarkets","06_Offering Circulator Supplement","CapitalMarkets","","2011-046_06_Offering Circulator Supplement.pdf","","Capital Markets","","06_Offering Circulator Supplement","","GMD010522","1","MCDF-0089-1126","2011-046",2011
