DFILESIZE,load,file,filename,siteid,uploaddirectory,contenttype,containerid,overwrite,majorversion,damsasp:extDocSource,damsasp:extDocId,,damsasp:extDocVersion,apm:apmNumber,apm:apmYear,apm:beginningBatesNumber,apm:endingBatesNumber,apm:startImage,apm:endImage,,remiccd:subtype,remiccd:sponsor,remiccd:dealNumber,,oipmroot:issuerName,oipmroot:issuerNumber
208766,TRUE,dams_sample.pdf,2011-090_07_Misc.pdf,ocm,Structured Solutions/REMIC Closing Documents/Glossary,remiccd:REMIC_CLOSING_DOCUMENTS,,,,,GMD010875,,,,,,,,,,,Test,12345,,,
564765,TRUE,dams_sample.pdf,2011-C02_01_Official Financial Advisor Letter.pdf,ocm,Structured Solutions/REMIC Closing Documents/Glossary,remiccd:REMIC_CLOSING_DOCUMENTS,,,,,GMD010893,,,,,,,,,,,Test,12345,,,
173419,TRUE,dams_sample.pdf,2011-C02_07_Misc.pdf,ocm,Structured Solutions/REMIC Closing Documents/Glossary,remiccd:REMIC_CLOSING_DOCUMENTS,,,,,GMD010899,,,,,,,,,,,Test,12345,,,
5015698,TRUE,dams_sample.pdf,2011-C02_08_Closing Document - Disk.pdf,ocm,Structured Solutions/REMIC Closing Documents/Glossary,remiccd:REMIC_CLOSING_DOCUMENTS,,,,,GMD010900,,,,,,,,,,,Test,12345,,,
102980,TRUE,dams_sample.pdf,2011-C03_04_Guaranty Agreement.pdf,ocm,Structured Solutions/REMIC Closing Documents/Glossary,remiccd:REMIC_CLOSING_DOCUMENTS,,,,,GMD010904,,,,,,,,,,,Test,12345,,,
108304,TRUE,dams_sample.pdf,2011-C04_03_Sponsor Agreement.pdf,ocm,Structured Solutions/REMIC Closing Documents/Glossary,remiccd:REMIC_CLOSING_DOCUMENTS,,,,,GMD010911,,,,,,,,,,,Test,12345,,,
889060,TRUE,dams_sample.pdf,2011-157_01_Official Financial Advisor Letter.pdf,ocm,Structured Solutions/REMIC Closing Documents/Glossary,remiccd:REMIC_CLOSING_DOCUMENTS,,,,,GMD011581,,,,,,,,,,,Test,12345,,,
758815,TRUE,dams_sample.pdf,2011-159_02_Transaction Initiation Letter.pdf,ocm,Structured Solutions/REMIC Closing Documents/Glossary,remiccd:REMIC_CLOSING_DOCUMENTS,,,,,GMD011598,,,,,,,,,,,Test,12345,,,
112123,TRUE,dams_sample.pdf,2010-H20_05_Legal Advisor Letter.pdf,ocm,Structured Solutions/REMIC Closing Documents/Glossary,remiccd:REMIC_CLOSING_DOCUMENTS,,,,,GMD010089,,,,,,,,,,,Test,12345,,,
1066070,TRUE,dams_sample.pdf,2011-001_02_Transaction Initiation Letter.pdf,ocm,Structured Solutions/REMIC Closing Documents/Glossary,remiccd:REMIC_CLOSING_DOCUMENTS,,,,,GMD010160,,,,,,,,,,,Test,12345,,,
112733,TRUE,dams_sample.pdf,2010-C19_04_Guaranty Agreement.pdf,ocm,Structured Solutions/REMIC Closing Documents/Glossary,remiccd:REMIC_CLOSING_DOCUMENTS,,,,,GMD009984,,,,,,,,,,,Test,12345,,,
96412,TRUE,dams_sample.pdf,2010-C20_04_Guaranty Agreement.pdf,ocm,Structured Solutions/REMIC Closing Documents/Glossary,remiccd:REMIC_CLOSING_DOCUMENTS,,,,,GMD009992,,,,,,,,,,,Test,12345,,,
