file,filename,siteid,uploaddirectory,contenttype,containerid,oipmroot:issuerNumber,oipmroot:issuerName,damsasp:extDocSource
OIP00697_4066_WESTSTAR MORTGAGE CORPORATION.pdf,OIP00697_4066_WESTSTAR MORTGAGE CORPORATION.pdf,SUPP MultiFamily,SUPP MultiFamily,SUPP MultiFamily,,4066,WESTSTAR MORTGAGE CORPORATION,Other
OIP00698_3871_FREEDOM MORTGAGE CORPORATION.pdf,OIP00698_3871_FREEDOM MORTGAGE CORPORATION.pdf,SUPP MultiFamily,SUPP MultiFamily,SUPP MultiFamily,,3871,FREEDOM MORTGAGE CORPORATION,Other
OIP00699_3991_HOUSING AND HEALTHCARE FINANCE LLC.pdf,OIP00699_3991_HOUSING AND HEALTHCARE FINANCE LLC.pdf,SUPP MultiFamily,SUPP MultiFamily,SUPP MultiFamily,,3991,HOUSING AND HEALTHCARE FINANCE LLC,Other
OIP00713_3451_ESTATES MORTGAGE COMPANY.pdf,OIP00713_3451_ESTATES MORTGAGE COMPANY.pdf,SUPP MultiFamily,SUPP MultiFamily,SUPP MultiFamily,,3451,ESTATES MORTGAGE COMPANY,Other
OIP00714_3454_DIME SAVINGS BANK.pdf,OIP00714_3454_DIME SAVINGS BANK.pdf,SUPP MultiFamily,SUPP MultiFamily,SUPP MultiFamily,,3454,DIME SAVINGS BANK,Other
OIP00715_3458_TOWNE MORTGAGE COMPANY.pdf,OIP00715_3458_TOWNE MORTGAGE COMPANY.pdf,SUPP MultiFamily,SUPP MultiFamily,SUPP MultiFamily,,3458,TOWNE MORTGAGE COMPANY,Other
OIP00716_3460_MCCUE MORTGAGE COMPANY.pdf,OIP00716_3460_MCCUE MORTGAGE COMPANY.pdf,SUPP MultiFamily,SUPP MultiFamily,SUPP MultiFamily,,3460,MCCUE MORTGAGE COMPANY,Other
OIP00717_3468_VALUE LINE MORTGAGE COMPANY.pdf,OIP00717_3468_VALUE LINE MORTGAGE COMPANY.pdf,SUPP MultiFamily,SUPP MultiFamily,SUPP MultiFamily,,3468,VALUE LINE MORTGAGE COMPANY,Other
OIP00718_3506_CENTURA BANK.pdf,OIP00718_3506_CENTURA BANK.pdf,SUPP MultiFamily,SUPP MultiFamily,SUPP MultiFamily,,3506,CENTURA BANK,Other
OIP00719_3509_DOVENMUEHLE MORTGAGE COMPANY.pdf,OIP00719_3509_DOVENMUEHLE MORTGAGE COMPANY.pdf,SUPP MultiFamily,SUPP MultiFamily,SUPP MultiFamily,,3509,DOVENMUEHLE MORTGAGE COMPANY,Other
OIP00720_3510_FIRST BANKERS MORTGAGE.pdf,OIP00720_3510_FIRST BANKERS MORTGAGE.pdf,SUPP MultiFamily,SUPP MultiFamily,SUPP MultiFamily,,3510,FIRST BANKERS MORTGAGE,Other
OIP00721_3534_FIRST EASTERN MORTGAGE COMPANY.pdf,OIP00721_3534_FIRST EASTERN MORTGAGE COMPANY.pdf,SUPP MultiFamily,SUPP MultiFamily,SUPP MultiFamily,,3534,FIRST EASTERN MORTGAGE COMPANY,Other
OIP00722_3536_USSA FEDERAL SAVINGS BANK.pdf,OIP00722_3536_USSA FEDERAL SAVINGS BANK.pdf,SUPP MultiFamily,SUPP MultiFamily,SUPP MultiFamily,,3536,USSA FEDERAL SAVINGS BANK,Other
OIP00723_3537_FIRST NATIONAL BANK OF ANCHORAGE.pdf,OIP00723_3537_FIRST NATIONAL BANK OF ANCHORAGE.pdf,SUPP MultiFamily,SUPP MultiFamily,SUPP MultiFamily,,3537,FIRST NATIONAL BANK OF ANCHORAGE,Other
OIP00724_3540_NORTH AMERICAN MORTGAGE COMPANY.pdf,OIP00724_3540_NORTH AMERICAN MORTGAGE COMPANY.pdf,SUPP MultiFamily,SUPP MultiFamily,SUPP MultiFamily,,3540,NORTH AMERICAN MORTGAGE COMPANY,Other
