file,filename,siteid,uploaddirectory,contenttype,containerid,oipmroot:issuerNumber,oipmroot:issuerName,damsasp:extDocSource
OIP00036_2162_MIDFIRST BANK.pdf,OIP00036_2162_MIDFIRST BANK.pdf,ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,2162,MIDFIRST BANK,Other
OIP00037_3177_TRUSTMARK NATIONAL BANK.pdf,OIP00037_3177_TRUSTMARK NATIONAL BANK.pdf,ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,3177,TRUSTMARK NATIONAL BANK,Other
OIP00038_2630_HIGHLAND.pdf,OIP00038_2630_HIGHLAND.pdf,ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,2630,HIGHLAND,Other
OIP00039_2633_SACH HOUSINGS.pdf,OIP00039_2633_SACH HOUSINGS.pdf,ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,2633,SACH HOUSINGS,Other
OIP00040_2643_FIRSTSTAR.pdf,OIP00040_2643_FIRSTSTAR.pdf,ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,2643,FIRSTSTAR,Other
OIP00041_2637_CTX.pdf,OIP00041_2637_CTX.pdf,ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,2637,CTX,Other
OIP00042_2693_TOWN AND COUNTRY.pdf,OIP00042_2693_TOWN AND COUNTRY.pdf,ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,2693,TOWN AND COUNTRY,Other
OIP00043_2702_EQUALITY.pdf,OIP00043_2702_EQUALITY.pdf,ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,2702,EQUALITY,Other
OIP00044_2705_FIRST FEDERAL.pdf,OIP00044_2705_FIRST FEDERAL.pdf,ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,2705,FIRST FEDERAL,Other
OIP00045_2706_UNIVERSAL AMERICAN.pdf,OIP00045_2706_UNIVERSAL AMERICAN.pdf,ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,2706,UNIVERSAL AMERICAN,Other
OIP00046_2727_COLUMBIA.pdf,OIP00046_2727_COLUMBIA.pdf,ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,2727,COLUMBIA,Other
