"DFILESIZE","file","filename","siteid","uploaddirectory","contenttype","containerid","cm:title","oipmroot:category","oipmroot:date","oipmroot:department","oipmroot:library","oipmroot:issuerNumber","oipmroot:issuerName","damsasp:extDocSource","damsasp:extDocId","damsasp:extDocVersion"
2901961,"GMD018185.pdf","GMD018185.pdf","SUPP MultiFamily","SUPP MultiFamily","SUPP MultiFamily","","GMAC Commercial Mortgage Bank","SUPP","","","MLTF","3956","GMAC Commercial Mortgage Bank","","GMD018185","1"
60497,"GMD018186.pdf","GMD018186.pdf","SUPP MultiFamily","SUPP MultiFamily","SUPP MultiFamily","","GMAC  Mortgage Corporation of Pennsylvania","SUPP","","","MLTF","1463","GMAC  Mortgage Corporation of Pennsylvania","","GMD018186","1"
11530955,"GMD018187.pdf","GMD018187.pdf","SUPP MultiFamily","SUPP MultiFamily","SUPP MultiFamily","","Evanston Financial Corporation","SUPP","","","MLTF","3957","Evanston Financial Corporation","","GMD018187","1"
154298,"GMD018188.pdf","GMD018188.pdf","SUPP MultiFamily","SUPP MultiFamily","SUPP MultiFamily","","Estates Mortgage Company","SUPP","","","MLTF","3451","Estates Mortgage Company","","GMD018188","1"
122144,"GMD018191.pdf","GMD018191.pdf","SUPP MultiFamily","SUPP MultiFamily","SUPP MultiFamily","","Delta Mortgage Company","SUPP","","","MLTF","3987","Delta Mortgage Company","","GMD018191","1"
607594,"GMD018189.pdf","GMD018189.pdf","SUPP MultiFamily","SUPP MultiFamily","SUPP MultiFamily","","Emigrant Mortgage CO., Inc.","SUPP","","","MLTF","3690","Emigrant Mortgage CO., Inc.","","GMD018189","1"
224388,"GMD018190.pdf","GMD018190.pdf","SUPP MultiFamily","SUPP MultiFamily","SUPP MultiFamily","","Discover Bank","SUPP","","","MLTF","3992","Discover Bank","","GMD018190","1"
1377871,"GMD018192.pdf","GMD018192.pdf","SUPP MultiFamily","SUPP MultiFamily","SUPP MultiFamily","","Continental Securities, LLC.","SUPP","8/20/2004","","MLTF","3909","Continental Securities, LLC.","","GMD018192","1"
2287304,"GMD018193.pdf","GMD018193.pdf","SUPP MultiFamily","SUPP MultiFamily","SUPP MultiFamily","","Column Guaranteed, LLC.","SUPP","","","MLTF","3961","Column Guaranteed, LLC.","","GMD018193","1"
6109794,"GMD018194.pdf","GMD018194.pdf","SUPP MultiFamily","SUPP MultiFamily","SUPP MultiFamily","","Colorado Bankers Mortgage, Inc.","SUPP","","","MLTF","3084","Colorado Bankers Mortgage, Inc.","","GMD018194","1"
10140765,"GMD018195.pdf","GMD018195.pdf","SUPP MultiFamily","SUPP MultiFamily","SUPP MultiFamily","","Collateral Mortgage Capital, LLC.","SUPP","","","MLTF","3923","Collateral Mortgage Capital, LLC.","","GMD018195","1"
49671,"GMD018196.pdf","GMD018196.pdf","SUPP MultiFamily","SUPP MultiFamily","SUPP MultiFamily","","Chase Mortgage Company","SUPP","","","MLTF","1543","Chase Mortgage Company","","GMD018196","1"
695695,"GMD018200.pdf","GMD018200.pdf","SUPP MultiFamily","SUPP MultiFamily","SUPP MultiFamily","","Guaranty Residential Lending, Inc.","SUPP","","","MLTF","3581","Guaranty Residential Lending, Inc.","","GMD018200","1"
2764761,"GMD018208.pdf","GMD018208.pdf","SUPP MultiFamily","SUPP MultiFamily","SUPP MultiFamily","","PNC Bank, N. A.","SUPP","1/15/2010","","MLTF","3976","PNC Bank, N. A.","","GMD018208","1"
22344989,"GMD018197.pdf","GMD018197.pdf","SUPP MultiFamily","SUPP MultiFamily","SUPP MultiFamily","","Charter Mac","SUPP","","","MLTF","3557","Charter Mac","","GMD018197","1"
2472787,"GMD018198.pdf","GMD018198.pdf","SUPP MultiFamily","SUPP MultiFamily","SUPP MultiFamily","","Citi Mortgage, Inc.","SUPP","","","MLTF","3886","Citi Mortgage, Inc.","","GMD018198","1"
179739,"GMD018199.pdf","GMD018199.pdf","SUPP MultiFamily","SUPP MultiFamily","SUPP MultiFamily","","Chase Manhattan Mortgage Corp.","SUPP","","","MLTF","1638","Chase Manhattan Mortgage Corp.","","GMD018199","1"
