"DFILESIZE","file","filename","siteid","uploaddirectory","contenttype","containerid","cm:title","oipmroot:category","oipmroot:date","oipmroot:department","oipmroot:library","oipmroot:issuerNumber","oipmroot:issuerName","damsasp:extDocSource","damsasp:extDocId","damsasp:extDocVersion"
35397,"GMD019183.pdf","GMD019183.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","Leader Federal Bank for","MISC","","","MLTF","","","","GMD019183","1"
28109,"GMD019010.pdf","GMD019010.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","GNMA","MISC","","","MLTF","","","","GMD019010","1"
32896,"GMD019377.pdf","GMD019377.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","Chemical Bank","MISC","","","MLTF","","","","GMD019377","1"
58965,"GMD019298.pdf","GMD019298.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","First Bankers Mortgage C","MISC","","","MLTF","","","","GMD019298","1"
35882,"GMD019285.pdf","GMD019285.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","First Nationwide Mortgag","MISC","","","MLTF","","","","GMD019285","1"
57390,"GMD019009.pdf","GMD019009.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","GNMA","MISC","","","MLTF","","","","GMD019009","1"
53776,"GMD018811.pdf","GMD018811.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","Weiner, Brodsky, Sidman","MISC","","","MLTF","","","","GMD018811","1"
60595,"GMD019150.pdf","GMD019150.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","Martell & Associates","MISC","","","MLTF","","","","GMD019150","1"
37835,"GMD019008.pdf","GMD019008.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","GNMA","MISC","","","MLTF","","","","GMD019008","1"
43968,"GMD019292.pdf","GMD019292.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","First Interstate Mortgag","MISC","","","MLTF","","","","GMD019292","1"
56398,"GMD019145.pdf","GMD019145.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","Mellon Mortgage Company","MISC","","","MLTF","","","","GMD019145","1"
30903,"GMD019006.pdf","GMD019006.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","GNMA","MISC","","","MLTF","","","","GMD019006","1"
26282,"GMD019007.pdf","GMD019007.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","GNMA","MISC","","","MLTF","","","","GMD019007","1"
49850,"GMD019247.pdf","GMD019247.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","George Mason Mortgage Co","MISC","","","MLTF","","","","GMD019247","1"
31165,"GMD019422.pdf","GMD019422.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","Bank of America","MISC","","","MLTF","","","","GMD019422","1"
40645,"GMD018926.pdf","GMD018926.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","GNMA","MISC","","","MLTF","","","","GMD018926","1"
39279,"GMD018816.pdf","GMD018816.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","Vanderbilt Mortgage & Fi","MISC","","","MLTF","","","","GMD018816","1"
34941,"GMD019347.pdf","GMD019347.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","Coopers & Lybrand","MISC","","","MLTF","","","","GMD019347","1"
34821,"GMD018895.pdf","GMD018895.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","GNMA","MISC","","","MLTF","","","","GMD018895","1"
40166,"GMD019278.pdf","GMD019278.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","First Savings Bank, FSB","MISC","","","MLTF","","","","GMD019278","1"
