"DFILESIZE","file","filename","siteid","uploaddirectory","contenttype","containerid","cm:title","oipmroot:department","oipmroot:documentType","oipmroot:issuerNumber","oipmroot:issuerName","oipmroot:terminationDate","damsasp:extDocSource","damsasp:extDocId","damsasp:extDocVersion"
12845677,"GMD040656.pdf","GMD040656.pdf","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","","GUARANTY SAVINGS AND LOAN, F.A. - Jul-00","OIPM","ISSUER FILE","3479","GUARANTY SAVINGS AND LOAN, F.A.","Jul-00","","GMD040656","1"
4539557,"GMD040657.pdf","GMD040657.pdf","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","","CENTRAL MORTGAGE CORPORATION - Jun-06","OIPM","ISSUER FILE","3519","CENTRAL MORTGAGE CORPORATION","Jun-06","","GMD040657","1"
13526410,"GMD040658.pdf","GMD040658.pdf","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","","EMC MORTGAGE CORPORATION - Sep-08","OIPM","ISSUER FILE","3522","EMC MORTGAGE CORPORATION","Sep-08","","GMD040658","1"
8299729,"GMD040659.pdf","GMD040659.pdf","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","","MAIN STREET MORTGAGE COMPANY - Jun-06","OIPM","ISSUER FILE","3547","MAIN STREET MORTGAGE COMPANY","Jun-06","","GMD040659","1"
37103475,"GMD040660.pdf","GMD040660.pdf","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","","GUARANTY RESIDENTIAL LENDING, - Mar-06","OIPM","ISSUER FILE","3581","GUARANTY RESIDENTIAL LENDING,","Mar-06","","GMD040660","1"
18081958,"GMD040661.pdf","GMD040661.pdf","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","","MATRIX FINANCIAL SERVICES CORPORATION - Nov-05","OIPM","ISSUER FILE","3590","MATRIX FINANCIAL SERVICES CORPORATION","Nov-05","","GMD040661","1"
13990536,"GMD040662.pdf","GMD040662.pdf","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","","M & I MORTGAGE CORPORATION - Jul-07","OIPM","ISSUER FILE","2709","M & I MORTGAGE CORPORATION","Jul-07","","GMD040662","1"
18788490,"GMD040663.pdf","GMD040663.pdf","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","","TCF MORTGAGE CORPORATION - Sep-06","OIPM","ISSUER FILE","2756","TCF MORTGAGE CORPORATION","Sep-06","","GMD040663","1"
40062806,"GMD040664.pdf","GMD040664.pdf","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","","GOLDEN FIRST MORTGAGE CORP. - Jul-09","OIPM","ISSUER FILE","2881","GOLDEN FIRST MORTGAGE CORP.","Jul-09","","GMD040664","1"
21459161,"GMD040665.pdf","GMD040665.pdf","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","","CORINTHIAN MORTGAGE - May-09","OIPM","ISSUER FILE","2961","CORINTHIAN MORTGAGE","May-09","","GMD040665","1"
